                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.0438,                0.74755,                0.86461,                0.50509,                0.39196,                0.39876,                0.23872,                 1.0751,                 0.8627,                 0.8688,                0.00472,                0.00472,                0.00472
                     83,                 1.0401,                0.74533,                0.86479,                0.51854,                0.38769,                    0.4,                0.24068,                  1.072,                 0.8587,                0.86853,               0.004654,               0.004654,               0.004654
                     84,                 1.0435,                0.74526,                0.86204,                0.51608,                0.38883,                0.40003,                0.24067,                 1.0711,                0.85974,                0.86799,               0.004588,               0.004588,               0.004588
                     85,                 1.0358,                0.73543,                0.86315,                0.51564,                0.38982,                0.40001,                0.23889,                 1.0742,                0.86308,                0.86824,               0.004522,               0.004522,               0.004522
                     86,                 1.0365,                0.73595,                0.86312,                0.52087,                0.38575,                0.40009,                0.23983,                 1.0748,                0.86286,                0.86832,               0.004456,               0.004456,               0.004456
                     87,                 1.0381,                0.73752,                0.86273,                0.51888,                 0.3846,                0.39981,                0.23994,                 1.0745,                0.86397,                0.86811,                0.00439,                0.00439,                0.00439
                     88,                 1.0343,                0.73543,                0.86234,                0.51788,                0.38944,                0.40258,                0.24127,                 1.0749,                0.86381,                0.86864,               0.004324,               0.004324,               0.004324
                     89,                  1.035,                0.73595,                0.86231,                0.52245,                0.38503,                0.40118,                0.24067,                 1.0743,                0.86165,                 0.8689,               0.004258,               0.004258,               0.004258
                     90,                 1.0341,                0.73485,                0.86227,                0.52257,                0.38504,                 0.4027,                0.24224,                 1.0754,                0.85968,                0.86871,               0.004192,               0.004192,               0.004192
                     91,                 1.0286,                 0.7273,                 0.8615,                0.50999,                0.39213,                0.40328,                0.24215,                 1.0735,                0.85953,                0.86789,               0.004126,               0.004126,               0.004126
