                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 1.0333,                0.65579,                0.85226,                0.52909,                0.39396,                0.40308,                0.24227,                 1.1224,                0.86264,                0.86805,               0.001684,               0.001684,               0.001684
                    129,                 1.0343,                0.65364,                0.85248,                0.52852,                0.39569,                0.40304,                0.24253,                 1.1223,                0.86273,                0.86809,               0.001618,               0.001618,               0.001618
                    130,                 1.0299,                0.65043,                0.85166,                0.52983,                0.39547,                0.40393,                0.24269,                 1.1224,                0.86302,                  0.868,               0.001552,               0.001552,               0.001552
                    131,                 1.0275,                0.64999,                0.85299,                0.52778,                0.39694,                0.40421,                 0.2426,                 1.1222,                0.86317,                0.86787,               0.001486,               0.001486,               0.001486
                    132,                 1.0254,                0.64442,                0.85166,                0.52679,                0.39714,                0.40466,                0.24287,                  1.122,                0.86276,                0.86793,                0.00142,                0.00142,                0.00142
                    133,                 1.0256,                0.64657,                0.85088,                0.52879,                0.39636,                0.40464,                0.24287,                 1.1223,                0.86341,                0.86802,               0.001354,               0.001354,               0.001354
                    134,                 1.0303,                0.64737,                0.85156,                0.52914,                0.39077,                0.40416,                0.24272,                 1.1228,                0.86382,                0.86822,               0.001288,               0.001288,               0.001288
                    135,                 1.0256,                0.64517,                0.85078,                0.52661,                0.39178,                0.40391,                0.24235,                 1.1233,                0.86451,                0.86829,               0.001222,               0.001222,               0.001222
                    136,                 1.0223,                0.64391,                0.84957,                0.52816,                0.39026,                0.40336,                0.24198,                 1.1236,                0.86513,                0.86839,               0.001156,               0.001156,               0.001156
                    137,                 1.0187,                0.63874,                0.85143,                0.52268,                0.39277,                0.40343,                0.24193,                  1.124,                0.86605,                0.86848,                0.00109,                0.00109,                0.00109
                    138,                 1.0231,                0.63844,                0.85085,                0.52735,                 0.3918,                0.40367,                0.24152,                 1.1244,                0.86636,                0.86865,               0.001024,               0.001024,               0.001024
                    139,                 1.0162,                0.63346,                 0.8494,                0.52719,                0.39153,                0.40319,                0.24119,                  1.125,                0.86716,                0.86882,               0.000958,               0.000958,               0.000958
                    140,                 1.0179,                0.63751,                0.84901,                 0.5244,                 0.3922,                0.40297,                0.24121,                 1.1251,                0.86773,                 0.8689,               0.000892,               0.000892,               0.000892
                    141,                 1.0198,                0.62796,                0.85025,                0.52071,                0.39385,                0.40304,                0.24116,                 1.1251,                  0.868,                0.86878,               0.000826,               0.000826,               0.000826
                    142,                 1.0198,                0.62796,                0.85025,                0.52071,                0.39385,                0.40304,                0.24116,                 1.1251,                  0.868,                0.86878,               0.000826,               0.000826,               0.000826
                    143,                 1.0198,                0.62796,                0.85025,                0.52071,                0.39385,                0.40304,                0.24116,                 1.1251,                  0.868,                0.86878,               0.000826,               0.000826,               0.000826
                    144,                 1.0198,                0.62796,                0.85025,                0.52071,                0.39385,                0.40304,                0.24116,                 1.1251,                  0.868,                0.86878,               0.000826,               0.000826,               0.000826
                    145,                 1.0198,                0.62796,                0.85025,                0.52071,                0.39385,                0.40304,                0.24116,                 1.1251,                  0.868,                0.86878,               0.000826,               0.000826,               0.000826
                    146,                 1.0198,                0.62796,                0.85025,                0.52071,                0.39385,                0.40304,                0.24116,                 1.1251,                  0.868,                0.86878,               0.000826,               0.000826,               0.000826
                    147,                 1.0198,                0.62796,                0.85025,                0.52071,                0.39385,                0.40304,                0.24116,                 1.1251,                  0.868,                0.86878,               0.000826,               0.000826,               0.000826
                    148,                 1.0198,                0.62796,                0.85025,                0.52071,                0.39385,                0.40304,                0.24116,                 1.1251,                  0.868,                0.86878,               0.000826,               0.000826,               0.000826
                    149,                 1.0198,                0.62796,                0.85025,                0.52071,                0.39385,                0.40304,                0.24116,                 1.1251,                  0.868,                0.86878,               0.000826,               0.000826,               0.000826
                    150,                 1.0198,                0.62796,                0.85025,                0.52071,                0.39385,                0.40304,                0.24116,                 1.1251,                  0.868,                0.86878,               0.000826,               0.000826,               0.000826
